DateTime,Condition,Rain,MaxTemp,MinTemp,SunRise,SunSet,MoonRise,MoonSet,AvgWind,AvgHumidity,AvgPressure
30.06.2019,Patchy rain possible,0.40,25,22,05:35:00,20:40:00,3:35:00,18:15:00,18,50,1018
29.06.2019,Patchy rain possible,0.20,25,22,05:35:00,20:40:00,3:0:00,17:8:00,24,54,1015
28.06.2019,Partly cloudy,0.00,30,24,05:34:00,20:40:00,2:30:00,16:3:00,15,57,1010
27.06.2019,Sunny,0.00,29,24,05:34:00,20:40:00,2:3:00,15:0:00,22,59,1014
26.06.2019,Partly cloudy,0.00,29,24,05:34:00,20:40:00,1:38:00,14:0:00,24,70,1016
25.06.2019,Partly cloudy,0.00,29,24,05:34:00,20:40:00,1:38:00,14:0:00,24,70,1016
24.06.2019,Partly cloudy,0.00,31,26,05:33:00,20:40:00,12:46:00,0:2:00,14,47,1013
23.06.2019,Partly cloudy,0.10,32,24,05:33:00,20:40:00,12:18:00,11:4:00,7,62,1014
22.06.2019,Partly cloudy,0.00,30,24,05:32:00,20:40:00,,10:5:00,13,66,1013
21.06.2019,Partly cloudy,0.20,29,24,05:32:00,20:40:00,23:48:00,9:7:00,11,61,1012
20.06.2019,Partly cloudy,0.10,29,24,05:32:00,20:39:00,23:12:00,8:9:00,11,58,1010
19.06.2019,Partly cloudy,0.90,28,24,05:32:00,20:39:00,22:30:00,7:13:00,18,62,1011
18.06.2019,Partly cloudy,0.20,29,23,05:32:00,20:39:00,21:43:00,6:21:00,18,66,1011
17.06.2019,Partly cloudy,1.30,30,23,05:32:00,20:39:00,20:48:00,5:34:00,18,63,1010
16.06.2019,Patchy rain possible,0.10,28,23,05:32:00,20:38:00,19:48:00,4:51:00,17,68,1010
15.06.2019,Partly cloudy,0.20,28,23,05:32:00,20:38:00,18:43:00,4:14:00,12,67,1011
14.06.2019,Partly cloudy,0.00,28,23,05:32:00,20:37:00,17:36:00,3:41:00,14,63,1014
13.06.2019,Partly cloudy,0.00,30,24,05:32:00,20:37:00,16:28:00,3:9:00,8,64,1013
12.06.2019,Partly cloudy,0.00,28,22,05:32:00,20:36:00,15:20:00,2:39:00,8,70,1011
11.06.2019,Cloudy,0.00,28,22,05:32:00,20:36:00,14:10:00,2:9:00,10,68,1010
10.06.2019,Partly cloudy,0.00,26,22,05:32:00,20:35:00,13:0:00,1:38:00,20,70,1012
09.06.2019,Partly cloudy,0.00,27,22,05:32:00,20:35:00,11:49:00,1:2:00,18,68,1016
08.06.2019,Partly cloudy,0.00,29,23,05:32:00,20:34:00,10:37:00,12:22:00,13,59,1017
07.06.2019,Partly cloudy,0.00,29,24,05:33:00,20:34:00,9:27:00,,8,56,1017
06.06.2019,Partly cloudy,0.00,28,23,05:33:00,20:33:00,8:19:00,23:35:00,6,62,1015
05.06.2019,Partly cloudy,0.00,28,21,05:33:00,20:32:00,7:19:00,22:41:00,7,62,1013
04.06.2019,Partly cloudy,0.40,25,21,05:34:00,20:32:00,6:25:00,21:40:00,10,59,1013
03.06.2019,Partly cloudy,2.40,27,22,05:34:00,20:31:00,5:41:00,20:34:00,10,61,1014
02.06.2019,Partly cloudy,3.20,27,20,05:34:00,20:30:00,5:3:00,19:27:00,8,71,1013
01.06.2019,Partly cloudy,0.00,24,20,05:35:00,20:30:00,4:31:00,18:20:00,16,74,1014
31.05.2019,Partly cloudy,0.00,30,23,05:35:00,20:29:00,4:2:00,17:16:00,7,60,1015
30.05.2019,Sunny,0.00,27,20,05:36:00,20:28:00,3:36:00,16:14:00,11,64,1016
29.05.2019,Sunny,0.00,28,23,05:36:00,20:27:00,3:10:00,15:14:00,11,57,1012
28.05.2019,Patchy rain possible,0.40,30,20,05:37:00,20:26:00,2:44:00,14:14:00,6,61,1012
